"Aasta","Maakond","Kivisüsi, tuhat tonni","Põlevkivi, tuhat tonni","Turvas, tuhat tonni","Turbabrikett, tuhat tonni","Küttepuud, tuhat tm","Puiduhake ja -jäätmed, tuhat tm","Maagaas, miljonit m³","Raske kütteõli, tuhat tonni","Põlevkiviõli (raske fraktsioon), tuhat tonni","Kerge kütteõli ja diislikütus, tuhat tonni","Kerge kütteõli*, tuhat tonni","Diislikütus, tuhat tonni","Autobensiin, tuhat tonni","Elektrienergia, GWh","Soojus, GWh"
"2011","Kogu Eesti",69,18739,304,12,1708,2640,632,2,65,646,74,572,261,..,..
"2011","Harju maakond",5,0,44,5,745,1080,421,1,10,295,38,257,133,..,..
"2011","..Tallinn",4,0,36,4,553,885,357,0,5,193,22,171,104,..,..
"2011","Hiiu maakond",0,0,0,0,10,4,0,0,0,4,0,4,1,..,..
"2011","Ida-Viru maakond",1,18479,3,1,157,265,83,0,25,52,4,48,20,..,..
"2011","Jõgeva maakond",0,0,0,0,54,24,5,0,2,19,2,17,7,..,..
"2011","Järva maakond",1,0,2,0,45,42,0,1,5,24,4,20,6,..,..
"2011","Lääne maakond",1,0,3,1,33,12,0,0,0,16,4,12,4,..,..
"2011","Lääne-Viru maakond",56,260,1,1,86,77,36,0,2,32,4,28,11,..,..
"2011","Põlva maakond",0,0,1,0,39,19,10,0,0,14,0,14,5,..,..
"2011","Pärnu maakond",1,0,77,2,110,368,9,0,0,36,4,32,16,..,..
"2011","Rapla maakond",0,0,1,0,49,12,29,0,1,26,2,24,6,..,..
"2011","Saare maakond",1,0,0,0,46,43,0,0,3,15,2,13,6,..,..
"2011","Tartu maakond",1,0,167,1,178,383,28,0,2,64,4,60,26,..,..
"2011","..Tartu linn",0,0,79,0,55,296,14,0,2,32,2,30,11,..,..
"2011","Valga maakond",1,0,3,0,43,54,0,0,1,13,2,11,5,..,..
"2011","Viljandi maakond",1,0,2,1,75,134,11,0,12,22,2,20,10,..,..
"2011","Võru maakond",0,0,0,0,38,123,0,0,2,14,2,12,5,..,..
"2012","Kogu Eesti",64,17527,265,13,1560,2936,657,1,67,668,67,601,252,8847,8599
"2012","Harju maakond",5,0,69,5,682,1303,388,1,10,300,35,265,125,3646,3957
"2012","..Tallinn",4,0,61,4,507,1040,295,1,2,214,23,191,95,2807,2860
"2012","Hiiu maakond",0,0,0,0,9,12,0,0,0,4,0,4,1,100,33
"2012","Ida-Viru maakond",2,17336,7,1,144,362,110,0,24,51,3,48,21,2223,1029
"2012","Jõgeva maakond",0,0,0,0,49,46,9,0,1,21,4,17,7,117,202
"2012","Järva maakond",0,0,4,0,41,59,0,0,6,23,3,20,6,145,204
"2012","Lääne maakond",1,0,3,0,30,46,0,0,2,16,3,13,4,87,139
"2012","Lääne-Viru maakond",52,191,1,1,76,114,40,0,2,31,3,28,11,593,552
"2012","Põlva maakond",0,0,0,0,35,29,10,0,1,12,1,11,5,82,132
"2012","Pärnu maakond",1,0,12,3,100,97,10,0,2,48,3,45,15,396,452
"2012","Rapla maakond",0,0,1,1,45,21,30,0,3,31,2,29,6,148,197
"2012","Saare maakond",1,0,0,0,46,56,0,0,4,17,2,15,6,155,159
"2012","Tartu maakond",1,0,160,1,160,432,44,0,3,69,4,65,25,679,805
"2012","..Tartu linn",0,0,75,0,49,323,30,0,1,37,1,36,10,392,369
"2012","Valga maakond",1,0,4,0,38,94,0,0,2,15,2,13,5,112,191
"2012","Viljandi maakond",0,0,3,1,71,149,16,0,3,16,1,15,10,243,331
"2012","Võru maakond",0,0,0,0,34,116,0,0,4,14,1,13,5,121,216
"2013","Kogu Eesti",61,20487,242,12,1614,2680,678,1,50,658,63,595,234,8785,8099
"2013","Harju maakond",5,0,48,5,701,1310,353,1,6,304,34,270,116,3549,3555
"2013","..Tallinn",4,0,41,4,516,1110,272,1,2,220,16,204,87,2737,2527
"2013","Hiiu maakond",0,0,0,0,9,12,0,0,0,3,0,3,1,33,33
"2013","Ida-Viru maakond",8,20331,4,1,148,78,192,0,21,46,2,44,19,2443,1010
"2013","Jõgeva maakond",1,0,0,1,50,48,7,0,1,20,4,16,6,117,198
"2013","Järva maakond",0,0,1,0,42,67,0,0,3,25,2,23,5,113,206
"2013","Lääne maakond",1,0,5,0,30,49,0,0,2,16,2,14,4,84,131
"2013","Lääne-Viru maakond",40,156,0,1,91,129,37,0,0,33,3,30,10,574,546
"2013","Põlva maakond",0,0,0,0,36,26,8,0,1,11,2,9,5,81,130
"2013","Pärnu maakond",1,0,11,2,105,103,10,0,1,48,3,45,14,343,392
"2013","Rapla maakond",0,0,1,0,46,18,30,0,3,17,1,16,6,154,195
"2013","Saare maakond",1,0,0,0,48,62,0,0,3,16,2,14,6,154,151
"2013","Tartu maakond",3,0,165,1,165,436,26,0,2,72,4,68,24,698,832
"2013","..Tartu linn",3,0,67,1,51,306,10,0,1,35,3,32,9,391,386
"2013","Valga maakond",0,0,3,0,37,90,0,0,2,14,2,12,5,109,192
"2013","Viljandi maakond",1,0,4,1,70,142,15,0,2,17,1,16,9,213,319
"2013","Võru maakond",0,0,0,0,36,110,0,0,3,16,1,15,4,120,209
"2014","Kogu Eesti",77,20628,224,12,1568,2715,530,0,43,670,33,637,241,8848,8017
"2014","Harju maakond",5,0,32,6,681,1236,325,0,7,273,10,263,116,3680,3581
"2014","..Tallinn",4,0,25,4,506,1045,252,0,3,176,6,170,91,2800,2551
"2014","Hiiu maakond",0,0,0,0,9,11,0,0,0,4,0,4,1,32,27
"2014","Ida-Viru maakond",4,20463,1,1,157,163,80,0,17,48,1,47,20,2246,1087
"2014","Jõgeva maakond",0,0,0,0,49,61,5,0,1,23,3,20,6,119,157
"2014","Järva maakond",0,0,0,0,41,70,0,0,3,21,2,19,6,128,193
"2014","Lääne maakond",0,0,2,0,30,41,0,0,2,19,1,18,4,82,110
"2014","Lääne-Viru maakond",64,165,0,1,78,163,35,0,0,39,1,38,11,622,500
"2014","Põlva maakond",0,0,0,0,35,29,7,0,0,10,1,9,5,77,116
"2014","Pärnu maakond",1,0,10,2,100,91,11,0,1,43,2,41,14,339,437
"2014","Rapla maakond",0,0,1,0,44,20,26,0,2,23,1,22,6,152,187
"2014","Saare maakond",1,0,0,0,44,65,0,0,2,16,2,14,5,148,141
"2014","Tartu maakond",1,0,172,2,160,426,28,0,2,107,6,101,27,785,798
"2014","..Tartu linn",0,0,62,1,50,335,16,0,1,52,1,51,10,479,395
"2014","Valga maakond",0,0,3,0,36,89,0,0,2,11,1,10,4,107,189
"2014","Viljandi maakond",1,0,3,0,68,147,13,0,2,20,1,19,9,220,310
"2014","Võru maakond",0,0,0,0,36,103,0,0,2,13,1,12,7,111,184
"2015","Kogu Eesti",29,17899,131,9,1532,2977,471,1,50,677,42,662,236,8795,7789
"2015","Harju maakond",3,0,31,3,666,1331,299,1,10,274,18,255,114,3684,3501
"2015","..Tallinn",2,0,24,2,494,1126,224,0,7,196,15,182,96,2734,2472
"2015","Hiiu maakond",0,0,0,0,9,11,0,0,0,5,0,6,1,34,26
"2015","Ida-Viru maakond",1,17825,6,1,140,147,56,0,24,51,1,52,19,2260,1046
"2015","Jõgeva maakond",0,0,0,0,47,63,7,0,1,24,3,22,6,118,151
"2015","Järva maakond",0,0,0,0,40,69,0,0,2,21,2,21,5,125,165
"2015","Lääne maakond",0,0,3,0,29,37,0,0,2,14,1,15,4,78,101
"2015","Lääne-Viru maakond",23,74,0,1,74,158,31,0,2,37,2,38,11,592,459
"2015","Põlva maakond",0,0,0,0,35,35,18,0,0,9,1,10,5,80,114
"2015","Pärnu maakond",1,0,9,2,98,90,10,0,1,61,2,61,14,343,422
"2015","Rapla maakond",0,0,1,0,43,31,10,0,1,20,1,20,6,125,175
"2015","Saare maakond",0,0,0,0,41,61,1,0,1,17,2,18,6,158,134
"2015","Tartu maakond",1,0,75,1,170,586,28,0,2,94,6,95,26,746,805
"2015","..Tartu linn",0,0,75,0,52,511,16,0,0,36,1,37,12,447,401
"2015","Valga maakond",0,0,4,0,38,86,0,0,2,12,1,11,4,109,188
"2015","Viljandi maakond",0,0,2,1,68,157,11,0,1,20,1,20,10,220,314
"2015","Võru maakond",0,0,0,0,34,115,0,0,1,18,1,18,5,123,188
"2016","Kogu Eesti",29,18840,124,2,1544,3103,518,2,51,684,37,647,252,9416,8640
"2016","Harju maakond",2,0,32,1,667,1361,350,1,9,276,14,262,136,4004,3884
"2016","..Tallinn",1,0,25,1,493,1075,247,1,7,203,12,191,113,2437,2742
"2016","Hiiu maakond",0,0,0,0,9,12,0,0,0,7,3,4,3,28,29
"2016","Ida-Viru maakond",1,18790,2,0,143,197,60,0,24,47,2,45,17,2505,1160
"2016","Jõgeva maakond",0,0,0,0,47,64,7,0,1,32,2,30,7,128,167
"2016","Järva maakond",0,0,0,0,39,77,0,0,1,32,4,28,5,108,183
"2016","Lääne maakond",0,0,0,0,29,34,0,0,2,9,0,9,3,76,112
"2016","Lääne-Viru maakond",24,50,0,0,74,175,26,0,1,44,0,43,13,519,509
"2016","Põlva maakond",0,0,0,0,44,30,8,0,0,14,0,14,4,85,126
"2016","Pärnu maakond",0,0,12,0,97,85,13,0,1,45,1,44,12,359,468
"2016","Rapla maakond",0,0,0,0,43,39,11,0,1,36,1,35,6,155,194
"2016","Saare maakond",0,0,0,0,47,62,1,0,1,17,1,17,5,141,149
"2016","Tartu maakond",0,0,75,0,169,599,26,0,1,63,8,55,20,796,893
"2016","..Tartu linn",0,0,72,0,51,519,12,0,0,47,8,38,7,467,445
"2016","Valga maakond",0,0,1,0,38,91,1,0,1,15,1,14,4,151,209
"2016","Viljandi maakond",0,0,1,0,66,152,16,0,1,21,2,20,10,217,348
"2016","Võru maakond",0,0,0,0,33,125,0,0,7,26,0,26,8,145,209
"2017","Kogu Eesti",48,22085,151,0,1545,3928,492,2,42,660,12,648,260,9532,9320
"2017","Harju maakond",4,1,44,0,665,1765,311,2,8,285,5,280,143,3581,4091
"2017","..Tallinn",1,1,38,0,485,1329,233,1,5,183,4,179,111,3030,2783
"2017","Hiiu maakond",0,0,0,0,11,26,0,0,0,4,0,4,1,25,41
"2017","Ida-Viru maakond",9,21985,10,0,167,254,60,0,21,59,0,59,19,3235,1361
"2017","Jõgeva maakond",0,0,0,0,39,65,6,0,2,24,0,24,5,91,196
"2017","Järva maakond",0,0,1,0,35,80,1,0,1,17,1,16,5,110,198
"2017","Lääne maakond",0,0,0,0,28,50,0,0,2,12,0,12,5,67,117
"2017","Lääne-Viru maakond",33,99,0,0,71,194,37,0,0,43,1,42,10,761,571
"2017","Põlva maakond",0,0,0,0,33,53,6,0,0,13,0,13,4,75,122
"2017","Pärnu maakond",1,0,22,0,96,104,9,0,1,39,1,38,13,350,493
"2017","Rapla maakond",0,0,0,0,40,66,21,0,1,25,0,25,6,143,244
"2017","Saare maakond",0,0,0,0,43,96,2,0,1,15,1,14,6,110,151
"2017","Tartu maakond",1,0,73,0,179,748,31,0,2,72,1,71,22,595,938
"2017","..Tartu linn",0,0,55,0,108,669,19,0,1,48,1,47,12,359,474
"2017","Valga maakond",0,0,0,0,40,133,0,0,1,13,1,12,5,107,218
"2017","Viljandi maakond",0,0,1,0,59,158,8,0,1,19,1,18,10,174,375
"2017","Võru maakond",0,0,0,0,39,136,0,0,1,20,0,20,6,108,204
"2018","Kogu Eesti",50,21374,121,0,1531,3865,500,3,40,687,11,675,260,9685,8927
"2018","Harju maakond",1,0,43,0,665,1773,321,3,10,313,5,308,135,3611,3910
"2018","..Tallinn",1,0,38,0,488,1391,265,2,8,232,3,229,105,3002,2787
"2018","Hiiu maakond",0,0,0,0,12,12,0,0,0,4,0,4,2,24,43
"2018","Ida-Viru maakond",3,21267,3,0,165,300,58,0,20,66,1,65,23,3242,1264
"2018","Jõgeva maakond",0,0,0,0,38,58,5,0,0,20,1,19,5,95,197
"2018","Järva maakond",0,0,0,0,35,73,1,0,1,22,1,21,6,106,208
"2018","Lääne maakond",0,0,0,0,28,30,0,0,0,11,0,11,4,71,119
"2018","Lääne-Viru maakond",44,106,0,0,67,222,36,0,0,25,1,24,11,768,547
"2018","Põlva maakond",0,0,0,0,32,51,5,0,0,13,0,13,4,76,120
"2018","Pärnu maakond",0,0,18,0,95,178,11,0,4,37,0,37,14,347,475
"2018","Rapla maakond",0,0,0,0,41,55,20,0,0,18,0,18,6,142,245
"2018","Saare maakond",0,0,0,0,40,89,1,0,1,10,0,10,6,113,154
"2018","Tartu maakond",0,0,56,0,181,691,34,0,2,98,0,98,25,648,877
"2018","..Tartu linn",0,0,0,0,107,297,17,0,0,72,0,72,15,402,367
"2018","Valga maakond",0,0,0,0,35,66,0,0,0,11,1,10,5,170,213
"2018","Viljandi maakond",0,0,1,0,58,167,7,0,0,21,1,20,8,200,350
"2018","Võru maakond",1,0,0,0,39,98,0,0,2,17,0,17,6,72,205
"2019","Kogu Eesti",50,15760,87,0,1434,4407,460,2,34,677,7,670,263,9141,9578
"2019","Harju maakond",1,0,21,0,630,2491,284,2,10,310,2,308,129,3664,4194
"2019","..Tallinn",1,0,21,0,458,2225,251,2,9,237,1,236,99,2696,2990
"2019","Hiiu maakond",0,0,0,0,11,6,0,0,0,4,0,4,2,29,46
"2019","Ida-Viru maakond",2,15664,0,0,154,475,53,0,14,61,0,61,28,2347,1356
"2019","Jõgeva maakond",0,0,0,0,37,44,4,0,0,16,0,16,5,101,211
"2019","Järva maakond",0,0,0,0,33,54,3,0,1,21,0,21,5,151,223
"2019","Lääne maakond",0,0,0,0,27,15,0,0,0,10,1,9,4,96,128
"2019","Lääne-Viru maakond",46,96,0,0,64,200,35,0,0,28,1,27,12,729,587
"2019","Põlva maakond",0,0,0,0,30,39,4,0,0,12,0,12,5,105,129
"2019","Pärnu maakond",1,0,15,0,90,131,12,0,3,38,0,38,14,374,510
"2019","Rapla maakond",0,0,0,0,38,39,22,0,0,13,0,13,8,188,263
"2019","Saare maakond",0,0,0,0,38,72,2,0,1,10,0,10,6,156,165
"2019","Tartu maakond",0,0,50,0,156,534,33,0,3,103,0,103,26,728,941
"2019","..Tartu linn",0,0,0,0,99,160,19,0,1,74,0,74,17,492,394
"2019","Valga maakond",0,0,0,0,33,83,0,0,0,12,1,11,5,145,229
"2019","Viljandi maakond",0,0,1,0,54,153,7,0,1,21,1,20,8,251,376
"2019","Võru maakond",0,0,0,0,39,71,1,0,1,18,1,17,6,77,220
